city,year,month,temperature,humidity,air_pressure,monthly_rainfall,latitude,longitude,oni_index,el_nino,la_nina
Surigao City,2020,10,26.793548387096774,92.41935483870968,1001.9387096774193,250.2,9.75,125.5,-1.5,0,1
Surigao City,2020,11,26.44333333333333,92.73333333333333,1003.36,211.5,9.75,125.5,-1.6,0,1
Surigao City,2020,12,26.24516129032258,93.03225806451613,1002.7741935483871,267.9,9.75,125.5,-1.4,0,1
Surigao City,2021,1,25.67096774193548,92.58064516129032,1003.0225806451613,583.3,9.75,125.5,-1.2,0,1
Surigao City,2021,2,25.62857142857143,92.32142857142857,1003.8535714285715,458.7,9.75,125.5,-0.9,0,1
Surigao City,2021,3,26.138709677419353,91.6774193548387,1004.2774193548387,224.8,9.75,125.5,-0.7,0,1
Surigao City,2021,4,26.743333333333332,89.26666666666667,1003.3533333333332,113.4,9.75,125.5,-0.5,0,0
Surigao City,2021,5,26.72258064516129,93.61290322580645,1003.3870967741935,243.4,9.75,125.5,-0.3,0,0
Surigao City,2021,6,27.153333333333332,92.23333333333333,1004.0300000000001,467.2,9.75,125.5,-0.4,0,0
Surigao City,2021,7,27.896774193548385,87.35483870967742,1002.3709677419355,135.7,9.75,125.5,-0.5,0,0
Surigao City,2021,8,27.574193548387097,89.0,1003.9483870967742,148.3,9.75,125.5,-0.7,0,1
Surigao City,2021,9,26.993333333333332,92.13333333333334,1003.15,214.7,9.75,125.5,-0.9,0,1
Surigao City,2021,10,26.72258064516129,91.90322580645162,1002.5838709677419,346.7,9.75,125.5,-1.1,0,1
Surigao City,2021,11,26.246666666666666,92.76666666666667,1002.8766666666667,180.6,9.75,125.5,-1.2,0,1
Surigao City,2021,12,25.47741935483871,91.87096774193549,1004.0096774193548,857.3,9.75,125.5,-1.1,0,1
Surigao City,2022,1,25.274193548387096,89.6774193548387,1005.0322580645161,380.8,9.75,125.5,-1.0,0,1
Surigao City,2022,2,25.303571428571427,90.35714285714286,1004.6964285714286,339.4,9.75,125.5,-0.9,0,1
Surigao City,2022,3,26.006451612903227,91.74193548387096,1003.6258064516129,216.2,9.75,125.5,-0.7,0,1
Surigao City,2022,4,25.990000000000002,91.76666666666667,1002.3733333333333,428.4,9.75,125.5,-0.5,0,0
Surigao City,2022,5,26.59032258064516,91.96774193548387,1003.5612903225807,317.7,9.75,125.5,-0.2,0,0
Surigao City,2022,6,27.066666666666666,89.33333333333333,1002.9866666666666,187.0,9.75,125.5,0.1,0,0
Surigao City,2022,7,26.98709677419355,90.96774193548387,1002.5709677419355,251.9,9.75,125.5,0.3,0,0
Surigao City,2022,8,26.90967741935484,91.19354838709677,1002.9612903225806,235.8,9.75,125.5,0.0,0,0
Surigao City,2022,9,27.60666666666667,89.2,1003.06,90.1,9.75,125.5,-0.2,0,0
Surigao City,2022,10,26.94193548387097,91.38709677419355,1002.1806451612903,333.7,9.75,125.5,-0.6,0,1
Surigao City,2022,11,26.259999999999998,92.46666666666667,1003.55,279.5,9.75,125.5,-0.8,0,1
